wfName,taskName,nodeName,rank
nfcore/sarek:2.7.1,ApplyBQSR,c5.2xlarge,5.0116937878587535
nfcore/sarek:2.7.1,ApplyBQSR,c5a.xlarge,5.523764830857386
nfcore/sarek:2.7.1,ApplyBQSR,c5a.2xlarge,5.806800071099113
nfcore/sarek:2.7.1,ApplyBQSR,m5zn.large,3.951975787583047
nfcore/sarek:2.7.1,ApplyBQSR,m5zn.2xlarge,2.2685162072429375
nfcore/sarek:2.7.1,ApplyBQSR,c5.xlarge,8.144616731973201
nfcore/sarek:2.7.1,ApplyBQSR,m5zn.xlarge,4.172870619652262
nfcore/sarek:2.7.1,ApplyBQSR,z1d.2xlarge,5.614834450795094
nfcore/sarek:2.7.1,ApplyBQSR,z1d.xlarge,6.967266999677629
nfcore/sarek:2.7.1,ApplyBQSR,z1d.large,6.669236036400346
nfcore/sarek:2.7.1,ApplyBQSR,d3.xlarge,12.403657841150865
nfcore/sarek:2.7.1,ApplyBQSR,d3.2xlarge,13.471676284577427
nfcore/sarek:2.7.1,ApplyBQSR,m5.large,14.411195804788544
nfcore/sarek:2.7.1,ApplyBQSR,r5.2xlarge,14.301740407963818
nfcore/sarek:2.7.1,ApplyBQSR,m5.2xlarge,14.316154550216826
nfcore/sarek:2.7.1,ApplyBQSR,m5.xlarge,15.858069094644296
nfcore/sarek:2.7.1,ApplyBQSR,r5.xlarge,16.20919015483266
nfcore/sarek:2.7.1,ApplyBQSR,r5.large,14.336139228707172
nfcore/sarek:2.7.1,ApplyBQSR,m5a.large,21.682059547185936
nfcore/sarek:2.7.1,ApplyBQSR,r5a.large,21.63798146622262
nfcore/sarek:2.7.1,ApplyBQSR,m5a.xlarge,22.191651831663464
nfcore/sarek:2.7.1,ApplyBQSR,r5a.xlarge,22.15599812572759
nfcore/sarek:2.7.1,ApplyBQSR,m5a.2xlarge,22.275345182166006
nfcore/sarek:2.7.1,ApplyBQSR,i3.2xlarge,22.62870830646024
nfcore/sarek:2.7.1,ApplyBQSR,r5a.2xlarge,23.673733540556526
nfcore/sarek:2.7.1,ApplyBQSR,i3.large,24.213197201220524
nfcore/sarek:2.7.1,ApplyBQSR,i3.xlarge,25.88734758524577
nfcore/sarek:2.7.1,BamQC,m5zn.2xlarge,1.9032803996305976
nfcore/sarek:2.7.1,BamQC,c5.2xlarge,4.790424414413126
nfcore/sarek:2.7.1,BamQC,m5zn.large,3.9480729261851177
nfcore/sarek:2.7.1,BamQC,c5.xlarge,7.797374252599704
