wfName,taskName,nodeName,rank
nfcore/sarek:2.7.1,BaseRecalibrator,i3.xlarge,26.0
nfcore/sarek:2.7.1,BaseRecalibrator,i3.large,27.0
nfcore/sarek:2.7.1,BuildDict,c5a.xlarge,1.0
nfcore/sarek:2.7.1,BuildDict,m5zn.2xlarge,2.0
nfcore/sarek:2.7.1,BuildDict,m5zn.large,3.0
nfcore/sarek:2.7.1,BuildDict,c5.2xlarge,4.0
nfcore/sarek:2.7.1,BuildDict,c5a.2xlarge,5.0
nfcore/sarek:2.7.1,BuildDict,c5.xlarge,6.0
nfcore/sarek:2.7.1,BuildDict,z1d.2xlarge,7.0
nfcore/sarek:2.7.1,BuildDict,z1d.xlarge,8.0
nfcore/sarek:2.7.1,BuildDict,z1d.large,9.0
nfcore/sarek:2.7.1,BuildDict,d3.xlarge,10.0
nfcore/sarek:2.7.1,BuildDict,m5zn.xlarge,11.0
nfcore/sarek:2.7.1,BuildDict,r5.xlarge,12.0
nfcore/sarek:2.7.1,BuildDict,m5.2xlarge,13.0
nfcore/sarek:2.7.1,BuildDict,r5.large,14.0
nfcore/sarek:2.7.1,BuildDict,d3.2xlarge,15.0
nfcore/sarek:2.7.1,BuildDict,r5.2xlarge,16.0
nfcore/sarek:2.7.1,BuildDict,m5.xlarge,17.0
nfcore/sarek:2.7.1,BuildDict,m5.large,18.0
nfcore/sarek:2.7.1,BuildDict,r5a.large,19.0
nfcore/sarek:2.7.1,BuildDict,m5a.large,20.0
nfcore/sarek:2.7.1,BuildDict,r5a.xlarge,21.0
nfcore/sarek:2.7.1,BuildDict,m5a.xlarge,22.0
nfcore/sarek:2.7.1,BuildDict,m5a.2xlarge,23.0
nfcore/sarek:2.7.1,BuildDict,i3.large,24.0
nfcore/sarek:2.7.1,BuildDict,i3.xlarge,25.0
nfcore/sarek:2.7.1,BuildDict,i3.2xlarge,26.0
nfcore/sarek:2.7.1,BuildDict,r5a.2xlarge,27.0
nfcore/sarek:2.7.1,FastQCFQ,c5a.2xlarge,1.0
nfcore/sarek:2.7.1,FastQCFQ,m5zn.2xlarge,2.0
nfcore/sarek:2.7.1,FastQCFQ,c5a.xlarge,3.0
nfcore/sarek:2.7.1,FastQCFQ,m5zn.large,4.0
nfcore/sarek:2.7.1,FastQCFQ,m5zn.xlarge,5.0
nfcore/sarek:2.7.1,FastQCFQ,c5.2xlarge,6.0
nfcore/sarek:2.7.1,FastQCFQ,c5.xlarge,7.0
nfcore/sarek:2.7.1,FastQCFQ,z1d.2xlarge,8.0
nfcore/sarek:2.7.1,FastQCFQ,z1d.xlarge,9.0
nfcore/sarek:2.7.1,FastQCFQ,z1d.large,10.0
nfcore/sarek:2.7.1,FastQCFQ,d3.2xlarge,11.0
nfcore/sarek:2.7.1,FastQCFQ,r5.large,12.0
nfcore/sarek:2.7.1,FastQCFQ,m5.large,13.0
nfcore/sarek:2.7.1,FastQCFQ,d3.xlarge,14.0
nfcore/sarek:2.7.1,FastQCFQ,m5.2xlarge,15.0
nfcore/sarek:2.7.1,FastQCFQ,m5.xlarge,16.0
nfcore/sarek:2.7.1,FastQCFQ,r5.xlarge,17.0
nfcore/sarek:2.7.1,FastQCFQ,r5.2xlarge,18.0
nfcore/sarek:2.7.1,FastQCFQ,r5a.2xlarge,19.0
nfcore/sarek:2.7.1,FastQCFQ,m5a.xlarge,20.0
nfcore/sarek:2.7.1,FastQCFQ,m5a.large,21.0
nfcore/sarek:2.7.1,FastQCFQ,r5a.xlarge,22.0
nfcore/sarek:2.7.1,FastQCFQ,m5a.2xlarge,23.0
nfcore/sarek:2.7.1,FastQCFQ,i3.2xlarge,24.0
nfcore/sarek:2.7.1,FastQCFQ,i3.large,25.0
nfcore/sarek:2.7.1,FastQCFQ,r5a.large,26.0
nfcore/sarek:2.7.1,FastQCFQ,i3.xlarge,27.0
nfcore/sarek:2.7.1,GatherBQSRReports,m5zn.2xlarge,1.0
nfcore/sarek:2.7.1,GatherBQSRReports,z1d.2xlarge,2.0
nfcore/sarek:2.7.1,GatherBQSRReports,c5a.xlarge,3.0
nfcore/sarek:2.7.1,GatherBQSRReports,c5.2xlarge,4.0
nfcore/sarek:2.7.1,GatherBQSRReports,c5a.2xlarge,5.0
nfcore/sarek:2.7.1,GatherBQSRReports,c5.xlarge,6.0
nfcore/sarek:2.7.1,GatherBQSRReports,m5zn.large,7.0
nfcore/sarek:2.7.1,GatherBQSRReports,m5.2xlarge,8.0
nfcore/sarek:2.7.1,GatherBQSRReports,d3.2xlarge,9.0
nfcore/sarek:2.7.1,GatherBQSRReports,m5zn.xlarge,10.0
nfcore/sarek:2.7.1,GatherBQSRReports,r5.2xlarge,11.0
nfcore/sarek:2.7.1,GatherBQSRReports,z1d.large,12.0
nfcore/sarek:2.7.1,GatherBQSRReports,z1d.xlarge,13.0
nfcore/sarek:2.7.1,GatherBQSRReports,m5a.2xlarge,14.0
nfcore/sarek:2.7.1,GatherBQSRReports,i3.2xlarge,15.0
nfcore/sarek:2.7.1,GatherBQSRReports,d3.xlarge,16.0
nfcore/sarek:2.7.1,GatherBQSRReports,r5a.2xlarge,17.0
nfcore/sarek:2.7.1,GatherBQSRReports,r5.large,18.0
nfcore/sarek:2.7.1,GatherBQSRReports,m5.large,19.0
nfcore/sarek:2.7.1,GatherBQSRReports,m5.xlarge,20.0
nfcore/sarek:2.7.1,GatherBQSRReports,r5.xlarge,21.0
nfcore/sarek:2.7.1,GatherBQSRReports,r5a.large,22.0
nfcore/sarek:2.7.1,GatherBQSRReports,m5a.large,23.0
nfcore/sarek:2.7.1,GatherBQSRReports,m5a.xlarge,24.0
nfcore/sarek:2.7.1,GatherBQSRReports,r5a.xlarge,25.0
nfcore/sarek:2.7.1,GatherBQSRReports,i3.xlarge,26.0
nfcore/sarek:2.7.1,GatherBQSRReports,i3.large,27.0
nfcore/sarek:2.7.1,get_software_versions,m5zn.large,1.0
nfcore/sarek:2.7.1,get_software_versions,m5zn.2xlarge,2.0
nfcore/sarek:2.7.1,get_software_versions,c5a.xlarge,3.0
nfcore/sarek:2.7.1,get_software_versions,z1d.2xlarge,4.0
nfcore/sarek:2.7.1,get_software_versions,z1d.large,5.0
